IP:Port,Loss,Latency
188.114.96.70:1843,0%,237.97
188.114.97.30:943,0%,240.06
188.114.97.138:939,0%,240.23
188.114.96.155:987,0%,240.75
188.114.98.187:891,0%,241.53
188.114.97.215:1018,0%,241.71
188.114.96.90:955,0%,242.30
188.114.98.185:988,0%,243.67
188.114.99.106:878,0%,244.56
188.114.98.159:891,0%,245.31
162.159.195.151:968,0%,245.86
188.114.97.71:955,0%,247.41
162.159.195.10:4198,0%,247.84
188.114.98.48:1070,0%,249.39
188.114.96.68:987,0%,249.85
188.114.96.161:5279,0%,252.67
188.114.99.60:7103,0%,253.60
162.159.192.127:1002,0%,254.01
188.114.96.118:7559,0%,254.26
188.114.98.109:4198,0%,254.28
188.114.96.149:3854,0%,254.47
188.114.99.85:878,0%,254.74
188.114.97.111:8886,0%,255.58
162.159.195.140:946,0%,255.69
188.114.98.108:1387,0%,255.76
162.159.195.75:8854,0%,255.87
162.159.195.130:2371,0%,255.92
188.114.97.20:4177,0%,256.06
188.114.96.173:908,0%,257.00
188.114.99.25:8742,0%,257.67
162.159.195.236:987,0%,258.56
188.114.98.127:4500,0%,259.31
188.114.99.167:946,0%,260.23
188.114.99.66:943,0%,260.33
162.159.195.96:3854,0%,260.34
188.114.96.118:903,0%,260.97
188.114.96.68:934,0%,261.01
188.114.99.205:968,0%,261.24
188.114.97.71:3476,0%,261.54
188.114.99.21:968,0%,262.47
188.114.96.148:2506,0%,262.47
188.114.97.152:2371,0%,262.52
162.159.195.76:1387,0%,262.71
188.114.96.148:8886,0%,262.82
188.114.97.210:4198,0%,262.86
188.114.98.79:908,0%,263.10
188.114.98.204:7559,0%,263.33
188.114.99.26:1070,0%,263.35
188.114.99.138:3854,0%,263.38
188.114.98.142:864,0%,263.45
188.114.97.99:3476,0%,263.52
188.114.99.176:4233,0%,263.66
188.114.98.86:3854,0%,263.70
188.114.98.29:864,0%,263.71
188.114.99.51:3138,0%,263.72
188.114.99.193:3138,0%,263.80
188.114.99.204:7281,0%,263.95
188.114.96.124:5279,0%,264.02
162.159.192.181:500,0%,264.03
188.114.98.115:939,0%,264.10
188.114.98.48:890,0%,264.34
188.114.97.169:8742,0%,264.36
188.114.96.144:878,0%,264.40
162.159.195.160:3854,0%,264.56
188.114.96.10:2408,0%,264.85
188.114.98.79:864,0%,264.91
162.159.192.115:1074,0%,264.98
188.114.97.117:880,0%,264.99
188.114.98.134:942,0%,265.00
188.114.97.86:894,0%,265.00
162.159.192.90:890,0%,265.48
188.114.96.79:2371,0%,265.56
188.114.99.196:4233,0%,265.61
162.159.195.162:3854,0%,265.72
188.114.98.108:942,0%,266.05
188.114.99.53:8319,0%,266.09
188.114.96.221:878,0%,266.24
188.114.96.53:928,0%,266.56
188.114.96.12:945,0%,266.57
188.114.99.31:7559,0%,266.64
162.159.195.190:4177,0%,266.95
162.159.195.62:7281,0%,267.04
162.159.192.29:7559,0%,268.14
188.114.98.137:3138,0%,268.41
162.159.195.150:7559,0%,268.71
162.159.195.22:854,0%,269.56
188.114.96.218:7281,0%,270.05
188.114.98.150:7152,0%,270.05
162.159.192.53:943,0%,270.38
188.114.98.78:945,0%,270.53
188.114.96.138:988,0%,270.92
188.114.98.195:2506,0%,270.99
162.159.192.240:955,0%,271.56
162.159.195.86:5956,0%,271.63
162.159.192.205:987,0%,271.66
188.114.96.220:968,0%,271.74
162.159.192.145:880,0%,272.23
188.114.99.141:1387,0%,273.50
188.114.97.26:2371,0%,273.60
188.114.99.238:500,0%,274.06
188.114.97.112:3581,0%,274.27
188.114.98.59:878,0%,274.45
188.114.97.15:890,0%,274.48
188.114.96.114:864,0%,274.90
162.159.195.237:891,0%,275.01
188.114.98.146:3854,0%,275.65
188.114.98.46:8886,0%,276.55
188.114.97.109:942,0%,276.68
188.114.97.238:908,0%,276.81
162.159.195.105:1387,0%,277.15
188.114.98.192:864,0%,277.25
162.159.192.229:2371,0%,277.51
162.159.192.236:5956,0%,278.18
162.159.195.33:988,0%,278.20
188.114.98.220:934,0%,278.25
188.114.98.25:2371,0%,278.41
162.159.192.215:7281,0%,278.56
162.159.195.79:890,0%,278.66
188.114.99.164:7281,0%,279.12
162.159.192.215:7103,0%,279.18
162.159.192.247:4233,0%,279.18
162.159.195.148:1018,0%,279.21
188.114.96.56:945,0%,279.55
188.114.97.254:939,0%,279.71
188.114.97.240:3581,0%,279.95
188.114.97.47:5956,0%,279.97
188.114.97.62:2506,0%,279.99
188.114.96.215:946,0%,280.00
162.159.192.80:854,0%,280.19
188.114.97.179:3581,0%,280.69
162.159.195.1:878,0%,280.71
188.114.97.159:934,0%,281.69
162.159.195.74:903,0%,281.85
162.159.192.17:2506,0%,282.01
188.114.99.51:942,0%,282.44
162.159.195.48:968,0%,282.44
188.114.99.218:928,0%,282.67
188.114.99.218:864,0%,282.69
188.114.99.252:8319,0%,282.76
188.114.99.124:3581,0%,282.79
188.114.97.24:934,0%,282.84
188.114.98.74:1010,0%,283.83
188.114.97.97:7156,0%,283.85
162.159.195.45:7559,0%,284.34
162.159.195.58:1074,0%,284.77
188.114.96.19:878,0%,284.91
188.114.99.155:968,0%,284.97
188.114.96.141:4198,0%,284.99
188.114.97.65:7559,0%,285.02
188.114.99.180:955,0%,285.09
188.114.99.137:878,0%,285.11
188.114.99.109:1002,0%,285.11
188.114.96.204:4177,0%,285.35
188.114.99.10:7156,0%,285.37
162.159.195.75:1387,0%,285.52
188.114.97.213:8742,0%,285.59
188.114.97.151:908,0%,285.60
188.114.98.243:942,0%,285.62
188.114.98.27:3581,0%,285.77
162.159.192.199:894,0%,285.91
188.114.97.243:3581,0%,286.07
162.159.192.199:942,0%,286.07
162.159.195.175:3854,0%,286.12
162.159.192.52:8854,0%,286.14
188.114.97.36:8742,0%,286.27
162.159.195.216:3138,0%,286.32
188.114.97.140:903,0%,286.33
188.114.99.247:894,0%,286.36
188.114.97.145:878,0%,286.42
162.159.192.161:988,0%,286.46
188.114.97.197:8886,0%,286.66
188.114.98.163:7152,0%,286.76
162.159.195.119:939,0%,286.77
188.114.96.247:928,0%,286.78
188.114.96.132:500,0%,286.83
188.114.96.220:1014,0%,286.97
162.159.192.142:864,0%,287.05
188.114.99.28:934,0%,287.10
188.114.98.3:1010,0%,287.14
188.114.98.27:7152,0%,287.17
188.114.97.172:8886,0%,287.19
188.114.96.174:4500,0%,287.23
188.114.99.39:894,0%,287.28
188.114.99.6:903,0%,287.40
188.114.96.54:968,0%,287.41
162.159.192.174:5279,0%,287.51
188.114.96.235:946,0%,287.62
162.159.195.90:8854,0%,287.77
188.114.98.113:3138,0%,287.90
188.114.96.129:4198,0%,288.00
188.114.99.238:890,0%,288.16
162.159.195.5:894,0%,288.44
188.114.96.57:5279,0%,288.46
188.114.96.110:3476,0%,288.50
162.159.192.233:945,0%,288.75
162.159.192.221:7559,0%,288.75
188.114.99.45:988,0%,288.91
188.114.96.145:878,0%,289.10
188.114.99.28:1701,0%,289.69
162.159.192.67:2506,0%,289.70
188.114.99.26:1387,0%,289.96
162.159.192.242:2506,0%,290.15
188.114.99.2:7103,0%,290.16
162.159.195.127:3581,0%,290.48
188.114.96.170:1014,0%,290.54
162.159.195.225:942,0%,290.66
188.114.98.74:2371,0%,290.69
188.114.96.116:1074,0%,290.81
188.114.99.48:968,0%,291.10
162.159.192.198:1701,0%,291.14
188.114.96.198:945,0%,291.75
188.114.96.71:7103,0%,292.08
162.159.195.57:943,0%,294.38
188.114.96.62:4500,0%,294.66
188.114.96.11:2506,0%,295.12
188.114.97.139:859,0%,295.27
162.159.192.39:1180,0%,296.34
188.114.97.172:2371,0%,296.48
188.114.98.50:988,0%,298.30
188.114.97.61:1070,0%,298.71
188.114.99.175:7156,0%,299.08
188.114.96.58:1014,0%,299.79
162.159.192.92:1701,0%,299.91
